"","iid","gender","match","samerace","age_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","prob_o","age","undergra","mn_sat","tuition","imprace","imprelig","goal","date","go_out","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","attr","sinc","intel","fun","amb","shar","prob","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","imprelig_o","imprace_o","goal_o","date_o","go_out_o","sports_o","tvsports_o","exercise_o","dining_o","museums_o","art_o","hiking_o","gaming_o","clubbing_o","reading_o","tv_o","theater_o","movies_o","concerts_o","music_o","shopping_o","yoga_o","exphappy_o"
"815",56,0,0,1,22,21,20,19,20,10,10,7,8,7,5,7,5,7,23,"","","",10,9,1,3,1,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,3,17,18,18,15,17,15,32,10,12,27,7,12,10,10,9,8,5,3,10,5,3,5,4,10,20,15,15,15,20,15,9,9,7,9,7,1,8,5,6,1,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,7
"816",56,0,0,1,22,30,10,20,30,0,10,7,7,6,5,4,5,5,23,"","","",10,9,1,3,1,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,3,17,18,18,15,17,15,32,10,12,27,7,12,10,10,9,8,5,4,10,9,8,9,7,8,20,15,15,15,20,15,9,9,7,9,7,3,7,6,4,2,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2
"817",56,0,0,1,25,30,0,30,30,10,0,8,10,8,8,10,5,1,23,"","","",10,9,1,3,1,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,3,17,18,18,15,17,15,32,10,12,27,7,12,10,10,9,8,5,3,10,7,3,5,2,3,20,15,15,15,20,15,9,9,7,9,7,1,3,5,7,2,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9
"818",56,0,0,0,24,20,20,20,20,10,10,8,6,6,7,7,5,5,23,"","","",10,9,1,3,1,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,3,17,18,18,15,17,15,32,10,12,27,7,12,10,10,9,8,5,3,10,9,2,9,3,6,20,15,15,15,20,15,9,9,7,9,7,3,3,6,5,3,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,5
"819",57,0,0,0,29,20,25,15,15,53,20,4,7,7,6,6,5,5,22,"","","",10,10,3,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10,8,7,7,7,7,7,7,10,20,20,15,20,10,5,9,9,10,9,1,1,2,6,4,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,5
"820",57,0,0,0,22,20,15,20,20,5,10,5,10,7,5,4,1,1,22,"","","",10,10,3,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10,8,8,8,7,8,1,5,10,20,20,15,20,10,5,9,9,10,9,1,1,6,5,2,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,5
"821",57,0,0,0,27,21,17,22,20,8,13,5,6,6,5,5,4,0,22,"","","",10,10,3,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10,7,6,9,7,7,7,7,10,20,20,15,20,10,5,9,9,10,9,1,1,5,4,3,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,5
"822",57,0,0,1,28,50,10,30,10,0,0,4,7,7,5,5,0,2,22,"","","",10,10,3,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10,9,8,7,8,9,9,7,10,20,20,15,20,10,5,9,9,10,9,2,2,6,6,1,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3
"823",57,0,0,1,26,25,10,20,20,15,10,5,8,7,5,5,4,2,22,"","","",10,10,3,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10,8,10,10,10,10,10,8,10,20,20,15,20,10,5,9,9,10,9,1,5,5,2,1,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,3
"824",57,0,1,1,21,60,15,0,15,0,10,6,9,8,6,8,6,3,22,"","","",10,10,3,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10,10,9,9,8,8,7,7,10,20,20,15,20,10,5,9,9,10,9,7,6,5,6,2,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,9
"825",57,0,0,1,22,21,20,19,20,10,10,5,8,8,7,7,7,6,22,"","","",10,10,3,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10,10,10,10,10,9,9,7,10,20,20,15,20,10,5,9,9,10,9,1,8,5,6,1,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,7
"826",57,0,0,1,22,30,10,20,30,0,10,6,8,6,6,6,5,6,22,"","","",10,10,3,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10,10,10,10,10,10,9,7,10,20,20,15,20,10,5,9,9,10,9,3,7,6,4,2,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2
"827",57,0,0,1,25,30,0,30,30,10,0,7,6,6,8,6,5,2,22,"","","",10,10,3,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10,8,9,10,10,9,10,8,10,20,20,15,20,10,5,9,9,10,9,1,3,5,7,2,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9
"828",57,0,0,0,24,20,20,20,20,10,10,6,8,7,6,5,5,5,22,"","","",10,10,3,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10,8,8,10,10,9,7,8,10,20,20,15,20,10,5,9,9,10,9,3,3,6,5,3,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,5
"849",60,0,1,0,29,20,25,15,15,53,20,5,8,7,8,8,6,6,29,"","","",3,10,4,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,5,20,25,15,15,20,60,10,10,10,5,5,7,9,9,9,9,9,10,10,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,4,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,5
"850",60,0,0,1,22,20,15,20,20,5,10,6,6,5,10,7,6,5,29,"","","",3,10,4,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,5,20,25,15,15,20,60,10,10,10,5,5,7,9,9,9,9,7,10,10,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,6,5,2,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,5
"851",60,0,0,0,27,21,17,22,20,8,13,3,6,5,4,6,4,5,29,"","","",3,10,4,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,5,20,25,15,15,20,60,10,10,10,5,5,7,9,9,9,9,5,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,3,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,5
"852",60,0,0,0,28,50,10,30,10,0,0,4,7,7,4,4,0,3,29,"","","",3,10,4,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,5,20,25,15,15,20,60,10,10,10,5,5,7,9,9,9,9,9,9,10,9,0,4,6,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,1,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3
"853",60,0,0,0,26,25,10,20,20,15,10,6,6,6,8,6,5,2,29,"","","",3,10,4,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,5,20,25,15,15,20,60,10,10,10,5,5,7,9,9,9,9,6,10,10,8,8,8,2,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,1,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,3
"854",60,0,0,0,21,60,15,0,15,0,10,4,8,6,6,5,1,0,29,"","","",3,10,4,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,5,20,25,15,15,20,60,10,10,10,5,5,7,9,9,9,9,2,10,10,1,7,2,1,0,0,0,0,0,0,0,0,0,0,0,7,6,5,6,2,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,9
"855",60,0,0,0,22,21,20,19,20,10,10,5,8,7,6,5,5,6,29,"","","",3,10,4,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,5,20,25,15,15,20,60,10,10,10,5,5,7,9,9,9,9,10,4,8,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,8,5,6,1,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,7
"856",60,0,0,0,22,30,10,20,30,0,10,4,7,6,6,7,5,7,29,"","","",3,10,4,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,5,20,25,15,15,20,60,10,10,10,5,5,7,9,9,9,9,7,10,10,9,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,7,6,4,2,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2
"857",60,0,0,0,25,30,0,30,30,10,0,6,8,8,7,7,5,1,29,"","","",3,10,4,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,5,20,25,15,15,20,60,10,10,10,5,5,7,9,9,9,9,9,10,10,9,10,8,8,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,2,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9
"858",60,0,0,1,24,20,20,20,20,10,10,5,6,7,6,5,5,5,29,"","","",3,10,4,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,5,20,25,15,15,20,60,10,10,10,5,5,7,9,9,9,9,2,10,10,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,3,6,5,3,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,5
"859",61,0,0,0,29,20,25,15,15,53,20,3,6,0,5,6,5,6,28,"","","",1,5,1,5,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,5,8,7,8,8,3,4,10,20,25,10,10,25,7,7,9,7,7,1,1,2,6,4,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,5
"860",61,0,0,0,22,20,15,20,20,5,10,0,6,5,4,3,2,5,28,"","","",1,5,1,5,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,6,8,7,8,7,3,4,10,20,25,10,10,25,7,7,9,7,7,1,1,6,5,2,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,5
"861",61,0,0,0,27,21,17,22,20,8,13,4,6,6,5,5,2,0,28,"","","",1,5,1,5,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,7,7,8,7,8,6,3,10,20,25,10,10,25,7,7,9,7,7,1,1,5,4,3,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,5
"862",61,0,0,1,28,50,10,30,10,0,0,2,8,8,4,6,3,4,28,"","","",1,5,1,5,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,8,8,8,8,8,5,4,10,20,25,10,10,25,7,7,9,7,7,2,2,6,6,1,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3
"863",61,0,0,1,26,25,10,20,20,15,10,5,8,9,7,5,5,2,28,"","","",1,5,1,5,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,6,5,6,8,8,4,2,10,20,25,10,10,25,7,7,9,7,7,1,5,5,2,1,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,3
"864",61,0,1,1,21,60,15,0,15,0,10,6,6,8,7,7,2,0,28,"","","",1,5,1,5,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,6,9,8,8,8,5,4,10,20,25,10,10,25,7,7,9,7,7,7,6,5,6,2,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,9
"865",61,0,0,1,22,21,20,19,20,10,10,5,8,7,5,6,5,7,28,"","","",1,5,1,5,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,7,7,8,8,8,5,4,10,20,25,10,10,25,7,7,9,7,7,1,8,5,6,1,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,7
"867",61,0,0,1,25,30,0,30,30,10,0,5,9,10,7,8,7,6,28,"","","",1,5,1,5,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,5,8,8,8,7,4,5,10,20,25,10,10,25,7,7,9,7,7,1,3,5,7,2,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9
"868",61,0,1,0,24,20,20,20,20,10,10,6,7,8,6,5,7,6,28,"","","",1,5,1,5,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,6,8,8,8,8,5,4,10,20,25,10,10,25,7,7,9,7,7,3,3,6,5,3,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,5
"869",62,0,0,1,29,20,25,15,15,53,20,9,8,8,8,7,5,5,26,"","","",1,1,2,7,2,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,30,10,20,20,10,10,60,5,5,10,10,10,9,9,9,9,9,6,7,7,7,8,6,7,50,10,10,10,10,10,9,9,9,9,9,1,1,2,6,4,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,5
"870",62,0,1,0,22,20,15,20,20,5,10,10,10,10,10,10,10,10,26,"","","",1,1,2,7,2,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,30,10,20,20,10,10,60,5,5,10,10,10,9,9,9,9,9,8,9,9,9,8,8,8,50,10,10,10,10,10,9,9,9,9,9,1,1,6,5,2,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,5
"871",62,0,0,0,27,21,17,22,20,8,13,8,7,6,5,5,4,3,26,"","","",1,1,2,7,2,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,30,10,20,20,10,10,60,5,5,10,10,10,9,9,9,9,9,6,7,7,5,6,6,5,50,10,10,10,10,10,9,9,9,9,9,1,1,5,4,3,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,5
"872",62,0,1,0,28,50,10,30,10,0,0,8,6,8,6,7,0,4,26,"","","",1,1,2,7,2,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,30,10,20,20,10,10,60,5,5,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,50,10,10,10,10,10,9,9,9,9,9,2,2,6,6,1,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3
"873",62,0,0,0,26,25,10,20,20,15,10,8,6,7,5,6,7,2,26,"","","",1,1,2,7,2,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,30,10,20,20,10,10,60,5,5,10,10,10,9,9,9,9,9,7,7,8,7,8,7,7,50,10,10,10,10,10,9,9,9,9,9,1,5,5,2,1,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,3
"874",62,0,0,0,21,60,15,0,15,0,10,10,6,8,10,6,0,0,26,"","","",1,1,2,7,2,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,30,10,20,20,10,10,60,5,5,10,10,10,9,9,9,9,9,7,8,8,7,8,8,8,50,10,10,10,10,10,9,9,9,9,9,7,6,5,6,2,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,9
"876",62,0,0,0,22,30,10,20,30,0,10,7,7,7,6,5,5,6,26,"","","",1,1,2,7,2,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,30,10,20,20,10,10,60,5,5,10,10,10,9,9,9,9,9,7,8,8,7,9,7,8,50,10,10,10,10,10,9,9,9,9,9,3,7,6,4,2,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2
"877",62,0,1,0,25,30,0,30,30,10,0,10,9,9,9,7,8,6,26,"","","",1,1,2,7,2,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,30,10,20,20,10,10,60,5,5,10,10,10,9,9,9,9,9,6,8,8,7,7,8,7,50,10,10,10,10,10,9,9,9,9,9,1,3,5,7,2,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9
"878",62,0,0,0,24,20,20,20,20,10,10,6,5,6,4,5,5,5,26,"","","",1,1,2,7,2,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,30,10,20,20,10,10,60,5,5,10,10,10,9,9,9,9,9,7,7,8,6,8,6,7,50,10,10,10,10,10,9,9,9,9,9,3,3,6,5,3,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,5
"879",63,0,0,0,29,20,25,15,15,53,20,2,6,7,5,6,4,6,24,"","","",1,3,3,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7,2,7,7,5,4,2,5,20,0,30,50,0,0,5,5,9,9,3,1,1,2,6,4,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,5
"880",63,0,1,0,22,20,15,20,20,5,10,5,5,5,5,5,5,5,24,"","","",1,3,3,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7,7,7,7,5,5,5,5,20,0,30,50,0,0,5,5,9,9,3,1,1,6,5,2,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,5
"881",63,0,0,0,27,21,17,22,20,8,13,4,7,7,6,5,3,5,24,"","","",1,3,3,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7,7,7,8,5,5,5,3,20,0,30,50,0,0,5,5,9,9,3,1,1,5,4,3,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,5
"882",63,0,0,0,28,50,10,30,10,0,0,1,6,8,7,9,0,3,24,"","","",1,3,3,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7,6,7,8,5,6,5,5,20,0,30,50,0,0,5,5,9,9,3,2,2,6,6,1,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3
"883",63,0,0,0,26,25,10,20,20,15,10,5,7,9,7,5,4,2,24,"","","",1,3,3,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7,6,6,9,8,8,5,4,20,0,30,50,0,0,5,5,9,9,3,1,5,5,2,1,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,3
"884",63,0,0,0,21,60,15,0,15,0,10,6,4,6,7,0,0,0,24,"","","",1,3,3,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7,1,7,5,3,5,1,1,20,0,30,50,0,0,5,5,9,9,3,7,6,5,6,2,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,9
"885",63,0,0,0,22,21,20,19,20,10,10,5,8,8,5,7,6,6,24,"","","",1,3,3,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7,3,8,5,3,7,1,3,20,0,30,50,0,0,5,5,9,9,3,1,8,5,6,1,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,7
"886",63,0,0,0,22,30,10,20,30,0,10,4,8,7,6,7,5,7,24,"","","",1,3,3,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7,4,5,5,5,8,5,1,20,0,30,50,0,0,5,5,9,9,3,3,7,6,4,2,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2
"887",63,0,0,0,25,30,0,30,30,10,0,7,8,7,7,3,5,3,24,"","","",1,3,3,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7,3,8,8,7,8,3,5,20,0,30,50,0,0,5,5,9,9,3,1,3,5,7,2,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9
"888",63,0,0,0,24,20,20,20,20,10,10,5,6,6,7,6,5,5,24,"","","",1,3,3,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7,3,7,4,2,3,2,5,20,0,30,50,0,0,5,5,9,9,3,3,3,6,5,3,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,5
"889",64,0,0,0,29,20,25,15,15,53,20,4,6,6,5,4,4,5,27,"","","",6,3,2,6,5,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,10,25,25,10,10,20,20,15,15,20,15,15,8,8,6,9,9,7,7,8,6,8,5,5,15,20,20,15,15,15,8,8,8,5,8,1,1,2,6,4,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,5
"890",64,0,0,0,22,20,15,20,20,5,10,6,6,8,6,7,6,5,27,"","","",6,3,2,6,5,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,10,25,25,10,10,20,20,15,15,20,15,15,8,8,6,9,9,7,7,7,6,5,5,5,15,20,20,15,15,15,8,8,8,5,8,1,1,6,5,2,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,5
"891",64,0,0,0,27,21,17,22,20,8,13,3,4,6,3,7,2,0,27,"","","",6,3,2,6,5,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,10,25,25,10,10,20,20,15,15,20,15,15,8,8,6,9,9,4,5,7,4,5,3,2,15,20,20,15,15,15,8,8,8,5,8,1,1,5,4,3,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,5
"892",64,0,0,0,28,50,10,30,10,0,0,4,6,8,4,9,1,3,27,"","","",6,3,2,6,5,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,10,25,25,10,10,20,20,15,15,20,15,15,8,8,6,9,9,7,7,8,6,4,4,5,15,20,20,15,15,15,8,8,8,5,8,2,2,6,6,1,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3
"893",64,0,0,0,26,25,10,20,20,15,10,6,6,9,6,6,5,2,27,"","","",6,3,2,6,5,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,10,25,25,10,10,20,20,15,15,20,15,15,8,8,6,9,9,5,6,8,6,8,4,3,15,20,20,15,15,15,8,8,8,5,8,1,5,5,2,1,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,3
"894",64,0,0,0,21,60,15,0,15,0,10,7,7,9,8,8,5,0,27,"","","",6,3,2,6,5,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,10,25,25,10,10,20,20,15,15,20,15,15,8,8,6,9,9,5,6,6,4,7,5,4,15,20,20,15,15,15,8,8,8,5,8,7,6,5,6,2,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,9
"895",64,0,0,0,22,21,20,19,20,10,10,6,7,8,4,7,6,5,27,"","","",6,3,2,6,5,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,10,25,25,10,10,20,20,15,15,20,15,15,8,8,6,9,9,6,6,7,6,6,6,4,15,20,20,15,15,15,8,8,8,5,8,1,8,5,6,1,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,7
"897",64,0,0,0,25,30,0,30,30,10,0,8,7,7,9,6,8,7,27,"","","",6,3,2,6,5,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,10,25,25,10,10,20,20,15,15,20,15,15,8,8,6,9,9,6,6,6,5,6,4,4,15,20,20,15,15,15,8,8,8,5,8,1,3,5,7,2,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9
"898",64,0,1,0,24,20,20,20,20,10,10,6,6,7,5,6,5,7,27,"","","",6,3,2,6,5,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,10,25,25,10,10,20,20,15,15,20,15,15,8,8,6,9,9,8,6,8,5,8,5,5,15,20,20,15,15,15,8,8,8,5,8,3,3,6,5,3,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,5
"899",65,0,0,0,29,20,25,15,15,53,20,8,8,8,8,6,8,7,23,"","","",6,3,2,5,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,7,17,17,17,17,17,15,20,18,18,14,15,15,7,9,9,8,9,6,7,8,7,8,6,6,17,17,17,17,17,17,8,9,8,9,9,1,1,2,6,4,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,5
"900",65,0,0,1,22,20,15,20,20,5,10,7,6,7,8,7,7,5,23,"","","",6,3,2,5,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,7,17,17,17,17,17,15,20,18,18,14,15,15,7,9,9,8,9,6,7,7,7,7,6,5,17,17,17,17,17,17,8,9,8,9,9,1,1,6,5,2,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,5
"901",65,0,0,0,27,21,17,22,20,8,13,6,7,6,7,5,3,5,23,"","","",6,3,2,5,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,7,17,17,17,17,17,15,20,18,18,14,15,15,7,9,9,8,9,7,7,7,7,7,6,5,17,17,17,17,17,17,8,9,8,9,9,1,1,5,4,3,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,5
"902",65,0,0,0,28,50,10,30,10,0,0,5,6,5,8,6,2,4,23,"","","",6,3,2,5,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,7,17,17,17,17,17,15,20,18,18,14,15,15,7,9,9,8,9,7,7,7,7,8,6,6,17,17,17,17,17,17,8,9,8,9,9,2,2,6,6,1,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3
